dataset,window_size,alphabet_size,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,state_count,state_count_std,transition_count,transition_count_std,transition_density,transition_density_std,path_probability,path_probability_std,confidence_score,confidence_score_std
skab,6,5,0.5566384495433281,0.08273624387976429,0.24983093988017904,0.20848225118183317,0.13976519683802255,0.15970000058399667,0.1472916756941733,0.12958520360845657,2548.25,479.680818357374,2548.25,479.680818357374,0.00040868540556941317,8.736927877930168e-05,0.0,0.0,0.0,0.0
skab,6,6,0.5352528402762308,0.08753548670846018,0.26157845672903457,0.16670561762601135,0.19997091193527938,0.1984322154311859,0.1968693240230754,0.13960881153301097,4068.75,805.4409894585698,4068.75,805.4409894585698,0.00025676019002606777,5.629764560220595e-05,0.0,0.0,0.0,0.0
batadal,3,3,0.9996998799519807,0.0005198231715392908,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.037037037037037035,0.0,7.464163195234479e-254,0.0,0.0,0.0
batadal,3,4,0.9852941176470588,0.00854683725444065,0.0,0.0,0.0,0.0,0.0,0.0,63.5,0.5,63.5,0.5,0.015749007936507936,0.00012400793650793607,0.0,0.0,0.0,0.0
batadal,3,5,0.96968787515006,0.009157350721724104,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.7071067811865476,112.0,0.7071067811865476,0.00892892734706894,5.637573734960041e-05,0.0,0.0,0.0,0.0
batadal,3,6,0.9474789915966386,0.014930783870147358,0.0,0.0,0.0,0.0,0.0,0.0,168.75,0.82915619758885,168.75,0.82915619758885,0.005926068652312996,2.9047831128622375e-05,0.0,0.0,0.0,0.0
batadal,4,3,0.9900841346153847,0.003108197245429236,0.0,0.0,0.0,0.0,0.0,0.0,80.25,0.4330127018922193,80.25,0.4330127018922193,0.012461419753086421,6.682294782287394e-05,0.0,0.0,0.0,0.0
batadal,4,4,0.9654447115384616,0.01289969226782793,0.0,0.0,0.0,0.0,0.0,0.0,190.0,2.9154759474226504,190.0,2.9154759474226504,0.005264397661631342,8.080234821311058e-05,0.0,0.0,0.0,0.0
batadal,4,5,0.9320913461538461,0.022637990627208362,0.0,0.0,0.0,0.0,0.0,0.0,321.5,3.905124837953327,321.5,3.905124837953327,0.0031108789492950185,3.779462560407619e-05,0.0,0.0,0.0,0.0
batadal,4,6,0.8993389423076923,0.016488154949902592,0.0,0.0,0.0,0.0,0.0,0.0,461.0,7.874007874011811,461.0,7.874007874011811,0.00216982660988005,3.6843244495933366e-05,0.0,0.0,0.0,0.0
batadal,5,3,0.9696149217809868,0.010842852762298497,0.0,0.0,0.0,0.0,0.0,0.0,191.25,2.947456530637899,191.25,2.947456530637899,0.005230007457035001,8.106510394273565e-05,0.0,0.0,0.0,0.0
batadal,5,4,0.9320096269554754,0.013733709037922153,0.0,0.0,0.0,0.0,0.0,0.0,401.0,10.559356040971437,401.0,10.559356040971437,0.0024955278189090456,6.693697458236602e-05,0.0,0.0,0.0,0.0
batadal,5,5,0.8941034897713597,0.016911515430270994,0.0,0.0,0.0,0.0,0.0,0.0,604.5,16.740669042783207,604.5,16.740669042783207,0.0016555486236312525,4.654908780040339e-05,0.0,0.0,0.0,0.0
batadal,5,6,0.8447653429602888,0.02267321742649432,0.0,0.0,0.0,0.0,0.0,0.0,804.0,18.34393632784414,804.0,18.34393632784414,0.0012444173647004854,2.7890199504991502e-05,0.0,0.0,0.0,0.0
batadal,6,3,0.9439759036144578,0.014319113643379141,0.0,0.0,0.0,0.0,0.0,0.0,352.25,5.539629951540085,352.25,5.539629951540085,0.002839587972772259,4.420434905751295e-05,0.0,0.0,0.0,0.0
batadal,6,4,0.8849397590361445,0.02280420871174423,0.0,0.0,0.0,0.0,0.0,0.0,674.0,16.47725705328408,673.0,16.47725705328408,0.0014823793015899243,3.691856466000505e-05,0.0,0.0,0.0,0.0
batadal,6,5,0.8524096385542168,0.014063394614371972,0.0,0.0,0.0,0.0,0.0,0.0,943.75,28.80429655450728,942.75,28.80429655450728,0.0010594833729689421,3.2919562339808455e-05,0.0,0.0,0.0,0.0
batadal,6,6,0.8033132530120483,0.02601370553379083,0.0,0.0,0.0,0.0,0.0,0.0,1179.5,20.3654118544163,1178.5,20.3654118544163,0.0008473505476265183,1.4635913429239012e-05,0.0,0.0,0.0,0.0
